DOI,Bed,Author,PubDate,ISO3,PopCNTY,HRNTYR,YCoord,XCoord,GeoPosMethod,GeoUncert,StartDate,EndDate,StudyPeriod,Species,Setting,SampleType,InfectionType,Pathogens,Strain,Drug,Compound,HNinf,HRes
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,PEN,AMC,95,0.18
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,PEN,AMC,25,0.8
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,AMI,AMK,95,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,AMI,AMK,25,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,MON,ATM,95,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,MON,ATM,25,0.48
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,QUI,CIP,95,0.21
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,QUI,CIP,25,0.72
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,CEP,CLX,95,0.15
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,CEP,CLX,25,1
